,Thickness_0,Thickness_1,U-Factor,DistrictCooling:Facility,Predicted
229,0.743752552492749,0.9346595376878447,0.5827010855719238,20372770955.60892,-0.6159042829397934
337,0.6150708417157115,0.48244600578733426,4.613869567064056,20484829742.781162,-0.26486595640921373
327,0.8473720133991386,0.2202713443238618,3.833202610477419,20434435912.581577,-0.4327033075136488
416,0.9048098855052471,0.54690115065124,1.973947039671129,20259540921.704067,-0.6004033541279363
306,0.2428198519766989,0.2576639707621955,2.382602242752262,21449773388.3155,-0.45966953509452635
131,0.9519701102057337,0.5476121326569781,4.411193997823064,20239769747.41371,-0.38513002162611576
5,0.10208076328039896,0.8767857771455373,0.9924885033184616,22505932416.042744,-0.4822183087589952
431,0.41058901087751243,0.6488852945924325,2.459832233421355,20732517756.015255,-0.502611826518316
434,0.8952481974951862,0.31029793451133075,2.539775578618447,20339129049.70202,-0.5644953986557408
134,0.3559186674797445,0.0121844035472367,3.7509130510686637,22271385035.985523,-0.31433664491438984
276,0.2818585679974094,0.7822733466143216,1.754161427471626,21138656633.70038,-0.5264985963376844
264,0.6473808658175697,0.3812116088098009,3.1030142547500774,20485532925.765717,-0.45527515922573314
34,0.04600901304868653,0.6376063209156734,2.346617000810856,24432066747.123352,-0.40672612846001166
274,0.6995064859841439,0.9874729101742848,1.576893063659203,20393380659.121315,-0.5721861499926493
489,0.4544607685647311,0.05618070083085315,0.9116544744794144,21190959931.549545,-0.5403761744968513
11,0.330583076985378,0.5033126605752322,3.9701348891616135,21057204964.57212,-0.3123482691408732
378,0.07988302384598969,0.44632823119512954,3.444319443918734,23094451562.175594,-0.32342394494527116
467,0.5754817456590609,0.3774430773012978,1.191080133417474,20562354764.82405,-0.5518402763590636
425,0.2350793944076903,0.0946890391370146,0.24695409744626873,21648548009.40665,-0.47919851858357343
241,0.21317680205865255,0.42175657288173374,3.7695902112316904,21478379670.99895,-0.31776108489394905
93,0.9560634371056426,0.8667034533577226,2.901444822012258,20171808365.03237,-0.5642105349551761
310,0.9215308727196,0.21229526376822827,3.657624151287626,20381560787.846878,-0.4650863695667764
189,0.7258586338476994,0.8547682149180927,2.935462282784032,20386680805.985115,-0.4896486936844604
277,0.1845596364806193,0.6253248706414598,3.4945691189865706,21571557976.503765,-0.3495331934477999
138,0.8317927612155942,0.06210165610265672,0.2685908984762646,20779846041.979355,-0.5830263320414815
332,0.9327823463598816,0.23736653039450897,4.740310349951613,20357390896.977024,-0.31006351896138895
313,0.4673846403769358,0.24556094096794168,3.285901075145227,20800210454.34977,-0.4253681015295059
59,0.48410182999815865,0.1884550299185355,1.7626655533294937,20820386656.801746,-0.5535866047046618
212,0.22635536865217099,0.1465995684121043,2.2370042043863974,21609004617.312386,-0.45373076712403204
171,0.05974583705274822,0.42085354097174804,1.6042657120148707,23753050958.269524,-0.4455436732312351
375,0.5504169784330297,0.7228998146260869,0.6887773176244776,20514927563.00041,-0.5576979379911076
85,0.7891626222545605,0.1437297229707325,4.020298653881455,20557497820.71209,-0.39998271457471124
266,0.12045060098678854,0.2930150797127628,2.1323233391802594,22267801885.64817,-0.44796860614092704
36,0.9412322523716105,0.2853913023645476,1.3376742710105938,20329122129.228413,-0.6214516915829571
272,0.2718088441805506,0.44146429637081996,0.6126673074293525,21248805429.897034,-0.5156335446708971
287,0.27291558873505867,0.2707668620232565,2.4095580897866244,21301619879.015564,-0.4658809224232827
185,0.7221885496799842,0.21078514923254427,2.3253366667733952,20512041938.165768,-0.5537850628104255
338,0.315854632096193,0.4695488119521036,3.31763254079014,21102096694.788048,-0.39116590203261115
33,0.6694908989011007,0.500079589951079,0.15018162956723258,20447543747.17701,-0.5921547400109739
343,0.7400756851598812,0.7734596393520081,1.8147021070725455,20347271869.076977,-0.5927099996007316
363,0.391202751381124,0.40350570663198493,2.9506807999004305,20845697938.326744,-0.4552835491407464
9,0.16396419232194637,0.36276875965468364,4.564969772288744,21773428148.605427,-0.1702593535410717
204,0.908490988196545,0.7704661272888372,3.1897753092004097,20198432722.846996,-0.5105481707453868
472,0.5700885767308685,0.9158501165127477,1.2079511994943186,20493555623.338352,-0.554976945441354
48,0.9772987060603421,0.40141536876778156,0.9236058512782493,20272638669.906574,-0.6245097531048069
280,0.9263523743036026,0.879562126563036,4.960754768198732,20184815972.211124,-0.22845170014889138
15,0.5450097765311998,0.12934482943909956,2.1045433773293167,20826838893.610306,-0.5425750434600827
184,0.6750394754326267,0.4404172042496371,1.9901626415769784,20444518148.058765,-0.5718516629266681
24,0.24828380807935937,0.9216362093059425,1.381877552854237,21316918815.741417,-0.5237221873274556
82,0.3252674094187131,0.4923970986559559,1.7360728237843375,21076207501.145195,-0.5226072743129873
289,0.2751968448790051,0.9140966284490164,1.5421262865409209,21192490148.325073,-0.5284555257063713
182,0.5608849639406098,0.28140122701559644,1.4639269560160522,20612839669.028492,-0.5540218756234939
13,0.5516424789428046,0.5945268416890687,1.1307447059967783,20537129703.98311,-0.5421807172224025
114,0.4219626516853856,0.16726282622812896,4.370153128141339,20923112906.72742,-0.24317663001530254
475,0.7080568893813198,0.9379637723021508,1.351874403360052,20391235563.200405,-0.5724336509030796
440,0.5240787295509572,0.955970520032309,0.4365357592446374,20556274844.78632,-0.5740259172691333
308,0.5968231500949213,0.23594009851388809,4.822219595261378,20606365225.142822,-0.2075531586524927
368,0.23543244960923926,0.7591228356229272,2.0899729475317526,21307519032.132637,-0.4809440250389865
55,0.84542151553086,0.1336425017361286,1.6763008479592507,20540272442.977184,-0.5577237248310625
132,0.5546582952216929,0.8290675259843101,4.702056711039732,20501646105.473526,-0.21396872675587142
237,0.2085771566177677,0.30168685287301944,0.6353326728907384,21512885956.635117,-0.49641379579114575
470,0.09495561395885257,0.01817521191176506,2.5177807621939174,23503223982.73687,-0.3635076708099103
75,0.2615226363662229,0.9118681971449474,4.353272986257785,21248416394.283886,-0.20210522715202028
316,0.1732077959221893,0.23977153171199286,4.038545869171432,21769473537.557167,-0.2542725902323687
370,0.10693965982124105,0.32234734268109067,0.7936469360769194,22474954465.698986,-0.4701170747428207
151,0.3951383145109075,0.03907880608536452,2.5837355044909485,21538267557.439644,-0.4604301329205137
72,0.9843801257191264,0.2960523159116868,3.2664410861294186,20303107086.210773,-0.5196137835417138
172,0.14097921839762295,0.6288707289501209,4.962746785639126,21931340077.698143,-0.07319141939791196
164,0.7006150773057782,0.8362798005624852,2.4768799120955958,20360857975.28527,-0.5449160095738801
188,0.3155188501528649,0.726610878582425,0.6591102103803009,21046067755.614338,-0.5122874586148453
170,0.5905751070661036,0.9005841320165197,0.36786107566803283,20475529191.79013,-0.5927468994363363
26,0.2293700898011526,0.41034901322104844,3.11892755217331,21398773858.22961,-0.400741942779826
101,0.5424857904577541,0.08063530008038802,2.5437292926150326,20958208056.94166,-0.5065115345371206
392,0.5981219674514453,0.8250954138523969,4.667316945586924,20441941976.235916,-0.23106859635412558
317,0.23142789792815813,0.6023378707892832,0.8752419897058699,21349658913.99869,-0.48547833961669884
107,0.0389113313838715,0.4130493962117114,1.9984973478206014,24939681120.098866,-0.42142510104249054
49,0.8284718870702239,0.3978162366046063,1.2175657364434005,20381322556.35782,-0.6148902461089526
160,0.4353940658867476,0.4949676529758849,1.171499879992779,20733705091.473446,-0.5329400327422942
369,0.47459226803301763,0.17533824115810498,4.275943651546814,20839039204.114017,-0.27607928451135944
223,0.4125489503888036,0.8000838486863702,0.2535591890152363,20716550370.638607,-0.5594085682678192
381,0.7333667852709995,0.18705853164525624,2.6577933274065733,20523918453.54564,-0.5159332694626029
367,0.4596651025488957,0.8456897909900957,1.1548733687976929,20637378233.40476,-0.5284880843063282
362,0.8703396634286111,0.838163176240115,2.196451281320125,20222541757.760273,-0.6164291536013686
249,0.3973460048392286,0.8589158625759834,0.5976117834316721,20759411655.608986,-0.5302191612777873
328,0.08194520222197096,0.7520192237325638,3.0343488500338616,22977353426.39264,-0.3789089301480014
448,0.08541528891268939,0.951718750667754,4.913165258279967,22887259494.580585,-0.11000539021695777
66,0.45027555586100265,0.12021709219084643,3.4213005287919853,20953527205.791466,-0.3970959975315079
463,0.6279697309803315,0.560272051075833,1.9379372609804488,20463145992.744884,-0.5891610798375994
320,0.5671187280329728,0.9266511376386549,3.6381340668672473,20485960527.139606,-0.3868221901564446
125,0.5197649952044944,0.11000290896622818,3.207988427403572,20888097512.222565,-0.44313413935928236
142,0.7120163347323222,0.6341228642848897,3.367793308088661,20370602743.33204,-0.4455004730519405
234,0.3081720729827749,0.33973442007669447,0.8110957706172501,21150283357.19569,-0.500958554027661
42,0.8362646734729314,0.5352794914752468,1.6565545713994392,20294059332.011986,-0.5856328813711393
190,0.7879952582551709,0.5663362772340251,3.569059027574401,20345459174.940907,-0.4452765386913886
41,0.7655156714855937,0.3358879660436177,4.907617198261582,20428478160.63756,-0.22999443482801185
252,0.4084241419383431,0.4160879312572609,2.182281495807126,20821046815.697857,-0.5190200736558899
102,0.04189588434888034,0.9032623117697101,1.0935907545574763,24701754157.34445,-0.4763607717258318
261,0.8825630555904482,0.04514244983549043,2.0673055524127095,20905987313.264893,-0.557422934239955
351,0.4881966350261855,0.7124367928889429,2.293832123358249,20577524839.180656,-0.5217266136630229
461,0.1430410714008542,0.9670819786635252,0.14850435298547404,21914192639.512848,-0.5020277388030109
