,Thickness_roof,Thickness_walls,U-VALUE_windows,Watts,Electricity:Facility-ON,DistrictHeating:Facility-ON,DistrictCooling:Facility-ON,Electricity:Facility-OFF,DistrictHeating:Facility-OFF,DistrictCooling:Facility-OFF
0,0.01,0.01,5.0,12,38527426016.26758,82111171954.60597,28482396440.950653,38527426016.26758,44530614799.649345,30763603922.133118
1,0.02661016949152542,0.02661016949152542,4.920338983050847,10,35546071328.26757,69747175915.93365,21419655609.27842,35546071328.26757,34777398216.91307,23891464543.48478
2,0.043220338983050846,0.043220338983050846,4.840677966101695,8,32564716640.26757,63304953868.58822,17669909914.335148,32564716640.26757,30440501322.433163,20267250650.702023
3,0.059830508474576265,0.059830508474576265,4.761016949152542,6,29583361952.267567,59374660328.25043,15020640716.123466,29583361952.267567,28176576212.86966,17647857117.448944
4,0.07644067796610168,0.07644067796610168,4.68135593220339,12,38527426016.26758,53689310315.86398,17400332339.228195,38527426016.26758,23210298297.965748,20397301136.422195
5,0.09305084745762711,0.09305084745762711,4.601694915254237,10,35546071328.26757,52057527325.10413,15503853162.986141,35546071328.26757,22631813498.62843,18529884595.280045
6,0.10966101694915252,0.10966101694915252,4.522033898305085,8,32564716640.26757,50902928888.47281,13745763154.06393,32564716640.26757,22423359326.99393,16790980755.46231
7,0.12627118644067795,0.12627118644067795,4.442372881355932,6,29583361952.267567,50062803931.68834,12048631969.862011,29583361952.267567,22454983140.357468,15141237286.885765
8,0.14288135593220339,0.14288135593220339,4.36271186440678,12,38527426016.26758,46880918481.80374,15319687291.270744,38527426016.26758,18975539496.148396,18701414951.343227
9,0.1594915254237288,0.1594915254237288,4.283050847457627,10,35546071328.26757,46558762818.26002,13766378173.558289,35546071328.26757,19309948236.386597,17178294182.087063
10,0.17610169491525424,0.17610169491525424,4.203389830508474,8,32564716640.26757,46349216913.44087,12292574098.34725,32564716640.26757,19738788180.87142,15686373431.884613
11,0.19271186440677965,0.19271186440677965,4.123728813559322,6,29583361952.267567,46220300007.82355,11013457438.78817,29583361952.267567,20234869529.41888,14207073060.223682
12,0.20932203389830506,0.20932203389830506,4.04406779661017,12,38527426016.26758,43797713623.24241,14443404235.932608,38527426016.26758,17151241326.993877,18015662825.844574
13,0.2259322033898305,0.2259322033898305,3.964406779661017,10,35546071328.26757,43878914540.42121,12931835954.608473,35546071328.26757,17743135418.094425,16599015408.361824
14,0.2425423728813559,0.2425423728813559,3.884745762711864,8,32564716640.26757,43993589194.830086,11625125662.120758,32564716640.26757,18378426448.73221,15178890910.487623
15,0.2591525423728813,0.2591525423728813,3.805084745762712,6,29583361952.267567,44131703059.376854,10501764978.128567,29583361952.267567,19047529241.433163,13757031377.96577
16,0.27576271186440676,0.27576271186440676,3.725423728813559,12,38527426016.26758,42040679617.89076,13859101939.111639,38527426016.26758,16124030491.07996,17677933673.556316
17,0.2923728813559322,0.2923728813559322,3.645762711864407,10,35546071328.26757,42288523938.83243,12442223260.037449,35546071328.26757,16822361103.449411,16299427406.421352
18,0.3089830508474576,0.3089830508474576,3.566101694915254,8,32564716640.26757,42550422133.78757,11243523834.460627,32564716640.26757,17545794499.741066,14911808617.966366
19,0.325593220338983,0.325593220338983,3.4864406779661015,6,29583361952.267567,42810458506.82976,10219735124.635393,29583361952.267567,18293496699.49218,13508462378.177769
20,0.34220338983050846,0.34220338983050846,3.406779661016949,12,38527426016.26758,40894124679.03751,13481750388.558582,38527426016.26758,15456512169.600616,17484522565.11214
21,0.35881355932203385,0.35881355932203385,3.3271186440677964,10,35546071328.26757,41230711014.58037,12176593730.43252,35546071328.26757,16214129564.032606,16123635880.791492
22,0.3754237288135593,0.3754237288135593,3.247457627118644,8,32564716640.26757,41567357753.62724,11022788940.914898,32564716640.26757,16983748229.104753,14746723096.353
23,0.3920338983050847,0.3920338983050847,3.1677966101694914,6,29583361952.267567,41890770057.15535,9997819078.217442,29583361952.267567,17773754152.075375,13345428859.96823
24,0.4086440677966101,0.4086440677966101,3.088135593220339,12,38527426016.26758,40084457480.57137,13221969510.215643,38527426016.26758,14990745316.318209,17364352361.602634
25,0.42525423728813555,0.42525423728813555,3.008474576271186,10,35546071328.26757,40476329036.04571,11973627929.87205,35546071328.26757,15784727527.029327,16002028159.754663
26,0.441864406779661,0.441864406779661,2.928813559322034,8,32564716640.26757,40852307318.74606,10861107638.481466,32564716640.26757,16583812001.664032,14626335211.378489
27,0.45847457627118643,0.45847457627118643,2.849152542372881,6,29583361952.267567,41214238495.011505,9857228679.291492,29583361952.267567,17396101653.99831,13224733483.502756
28,0.4750847457627118,0.4750847457627118,2.7694915254237285,12,38527426016.26758,39486695495.96629,13028545919.138245,38527426016.26758,14648447522.12075,17269239261.780445
29,0.49169491525423725,0.49169491525423725,2.689830508474576,10,35546071328.26757,39907987866.35496,11808149654.712952,35546071328.26757,15464017077.630219,15909040630.205809
30,0.5083050847457626,0.5083050847457626,2.6101694915254234,8,32564716640.26757,40308623863.5792,10729806760.509354,32564716640.26757,16283884549.534595,14526171911.595808
31,0.5249152542372881,0.5249152542372881,2.530508474576271,6,29583361952.267567,40697172298.861336,9723695891.946215,29583361952.267567,17110974035.93819,13125617310.928282
32,0.5415254237288135,0.5415254237288135,2.4508474576271184,12,38527426016.26758,39025095139.91126,12864790875.072628,38527426016.26758,14389874243.067625,17188912276.621143
33,0.5581355932203389,0.5581355932203389,2.371186440677966,10,35546071328.26757,39466541422.606964,11677216499.853748,35546071328.26757,15217661696.80345,15835058018.45198
34,0.5747457627118644,0.5747457627118644,2.2915254237288134,8,32564716640.26757,39890366928.97631,10614417007.981216,32564716640.26757,16056750357.983234,14430316426.208305
35,0.5913559322033898,0.5913559322033898,2.211864406779661,6,29583361952.267567,40290939746.88444,9632580901.15838,29583361952.267567,16890307515.674797,13041121966.324694
36,0.6079661016949152,0.6079661016949152,2.1322033898305084,12,38527426016.26758,38666517102.26439,12723470627.889229,38527426016.26758,14193585328.37278,17111627626.21784
37,0.6245762711864407,0.6245762711864407,2.052542372881356,10,35546071328.26757,39119900686.74255,11570203174.50119,35546071328.26757,15031601575.38369,15749103426.273512
38,0.641186440677966,0.641186440677966,1.972881355932203,8,32564716640.26757,39548540271.02224,10533223592.981342,32564716640.26757,15874928589.59727,14360681629.06771
39,0.6577966101694914,0.6577966101694914,1.8932203389830504,6,29583361952.267567,39968658114.35602,9538033960.746649,29583361952.267567,16720834767.938047,12959293213.080803
40,0.6744067796610169,0.6744067796610169,1.813559322033898,12,38527426016.26758,38370674866.005806,12641910825.72746,38527426016.26758,14033492876.97346,17052999459.551924
41,0.6910169491525423,0.6910169491525423,1.7338983050847454,10,35546071328.26757,38831138791.804184,11499961179.849854,35546071328.26757,14877396290.92691,15690999886.755365
42,0.7076271186440677,0.7076271186440677,1.654237288135593,8,32564716640.26757,39268072429.665,10459505180.452984,32564716640.26757,15725101849.214672,14299402997.283152
43,0.7242372881355932,0.7242372881355932,1.5745762711864404,6,29583361952.267567,39697355860.545944,9456679535.685953,29583361952.267567,16576946535.52918,12898141210.98141
44,0.7408474576271186,0.7408474576271186,1.4949152542372879,12,38527426016.26758,38124557259.69279,12570994551.93036,38527426016.26758,13897938865.96305,17002954227.060802
45,0.757457627118644,0.757457627118644,1.4152542372881354,10,35546071328.26757,38587840999.24485,11413867177.776066,35546071328.26757,14748260111.197487,15616234942.86839
46,0.7740677966101694,0.7740677966101694,1.3355932203389829,8,32564716640.26757,39033178760.44735,10406752294.750582,32564716640.26757,15599115218.903557,14247467527.013134
47,0.7906779661016948,0.7906779661016948,1.2559322033898304,6,29583361952.267567,39469478530.83805,9411149591.63334,29583361952.267567,16454670553.165972,12845303558.773628
48,0.8072881355932202,0.8072881355932202,1.1762711864406779,12,38527426016.26758,37916292170.14375,12522845127.917423,38527426016.26758,13784860203.426624,16959771231.818388
49,0.8238983050847457,0.8238983050847457,1.096610169491525,10,35546071328.26757,38384741141.31872,11378132083.383606,35546071328.26757,14634719927.526133,15592599593.934685
50,0.8405084745762711,0.8405084745762711,1.0169491525423724,8,32564716640.26757,38832386293.47528,10365247573.48908,32564716640.26757,15492618782.024729,14203965044.633915
51,0.8571186440677966,0.8571186440677966,0.9372881355932199,6,29583361952.267567,39268708157.59622,9298856944.086596,29583361952.267567,16317373943.434465,12782889999.381428
52,0.873728813559322,0.873728813559322,0.8576271186440678,12,38527426016.26758,37731529661.78996,12463547658.203897,38527426016.26758,13660202705.841707,16917324058.858948
53,0.8903389830508474,0.8903389830508474,0.7779661016949149,10,35546071328.26757,38202712571.0959,11318960456.69118,35546071328.26757,14508313357.491207,15543383733.215717
54,0.9069491525423728,0.9069491525423728,0.6983050847457619,8,32564716640.26757,38653941379.77291,10265577420.357126,32564716640.26757,15369209935.00379,14148847974.182564
55,0.9235593220338982,0.9235593220338982,0.6186440677966099,6,29583361952.267567,39098375442.820496,9263669213.42194,29583361952.267567,16227271338.728933,12743295040.903976
56,0.9401694915254236,0.9401694915254236,0.5389830508474569,12,38527426016.26758,37574702479.6996,12421083075.84744,38527426016.26758,13576483539.093533,16885150568.260084
57,0.9567796610169491,0.9567796610169491,0.45932203389830484,10,35546071328.26757,38046619204.16417,11285178553.135298,35546071328.26757,14426519848.872341,15510458208.75691
58,0.9733898305084745,0.9733898305084745,0.3796610169491519,8,32564716640.26757,38502334364.731,10233596078.933893,32564716640.26757,15289113329.959515,14115966668.685116
59,0.99,0.99,0.3,6,29583361952.267567,38948429004.784645,9213170571.905558,29583361952.267567,16149105119.431482,12708770352.998116
