,Thickness_roof,Thickness_walls,U-VALUE_windows,DistrictHeating:Facility-ON,DistrictCooling:Facility-ON,DistrictHeating:Facility-OFF,DistrictCooling:Facility-OFF
0,0.01,0.01,5.0,78036398285.8401,32463001737.354507,40546169774.75927,34901977733.97292
1,0.02661016949152542,0.02661016949152542,4.920338983050847,64876452528.44215,26863293036.33873,29890676676.713745,29498702737.330803
2,0.043220338983050846,0.043220338983050846,4.840677966101695,57867085905.16969,24563979512.557228,24674144895.711426,27294198247.87107
3,0.059830508474576265,0.059830508474576265,4.761016949152542,53452725423.15894,23355994638.348446,21577027062.00315,26104864104.87819
4,0.07644067796610168,0.07644067796610168,4.68135593220339,50400279373.688965,22518050841.171867,19517727976.142376,25341529395.899044
5,0.09305084745762711,0.09305084745762711,4.601694915254237,48182553195.943306,21912293127.82811,18044706159.31657,24812171715.267235
6,0.10966101694915252,0.10966101694915252,4.522033898305085,46490882569.328896,21518239686.339165,16939023412.243702,24426197948.253807
7,0.12627118644067795,0.12627118644067795,4.442372881355932,45163552292.19954,21198868025.883804,16078839088.882366,24124129093.59002
8,0.14288135593220339,0.14288135593220339,4.36271186440678,44082078268.804214,20975656534.958607,15393860515.756008,23877389227.661083
9,0.1594915254237288,0.1594915254237288,4.283050847457627,43188562745.68993,20785939663.54934,14827566608.674393,23679191056.011463
10,0.17610169491525424,0.17610169491525424,4.203389830508474,42433117352.80613,20579099148.394047,14355661952.5122,23519705944.21761
11,0.19271186440677965,0.19271186440677965,4.123728813559322,41789337290.39323,20441149086.30597,13957893939.015623,23388309640.809235
12,0.20932203389830506,0.20932203389830506,4.04406779661017,41229773735.90176,20292945047.14879,13611921589.43237,23272260257.856544
13,0.2259322033898305,0.2259322033898305,3.964406779661017,40742112045.67862,20161448259.97388,13315241648.37415,23176883856.37542
14,0.2425423728813559,0.2425423728813559,3.884745762711864,40311484517.605255,20028363232.281296,13055716816.270681,23088267650.43263
15,0.2591525423728813,0.2591525423728813,3.805084745762712,39929216472.966034,19926715813.908054,12822213676.337336,23021089299.884186
16,0.27576271186440676,0.27576271186440676,3.725423728813559,39584676138.56636,19840723652.546883,12616523460.763271,22963006580.110466
17,0.2923728813559322,0.2923728813559322,3.645762711864407,39279111077.50676,19868674497.6963,12433739376.380966,22916027191.8589
18,0.3089830508474576,0.3089830508474576,3.566101694915254,38998218631.3418,19757450314.516163,12266749185.343943,22870102049.432255
19,0.325593220338983,0.325593220338983,3.4864406779661015,38744828989.730774,19651083562.53516,12113460308.13752,22826770867.580612
20,0.34220338983050846,0.34220338983050846,3.406779661016949,38513031793.62637,19731106964.72855,11976628919.342947,22794021840.156845
21,0.35881355932203385,0.35881355932203385,3.3271186440677964,38300587974.84517,19674939366.0183,11850102365.653131,22764523905.032578
22,0.3754237288135593,0.3754237288135593,3.247457627118644,38105168377.59349,19607670004.995823,11734406536.572365,22732124839.65343
23,0.3920338983050847,0.3920338983050847,3.1677966101694914,37924409649.12768,19351144061.882122,11628696431.058815,22710386787.768875
24,0.4086440677966101,0.4086440677966101,3.088135593220339,37756670050.06809,19251759457.861454,11530834987.770674,22685337471.885216
25,0.42525423728813555,0.42525423728813555,3.008474576271186,37600795565.116425,19173828865.10635,11441394507.412544,22665029759.86561
26,0.441864406779661,0.441864406779661,2.928813559322034,37455166070.312195,19126035237.20516,11358801914.164768,22643423323.762825
27,0.45847457627118643,0.45847457627118643,2.849152542372881,37320314740.71586,18988671942.400173,11281686910.137854,22624282457.985992
28,0.4750847457627118,0.4750847457627118,2.7694915254237285,37194149206.46267,18916075191.060345,11208873509.647251,22606104223.774574
29,0.49169491525423725,0.49169491525423725,2.689830508474576,37075923862.70516,18872853973.167408,11141475531.944817,22586605412.10033
30,0.5083050847457626,0.5083050847457626,2.6101694915254234,36965334159.884926,18831891133.898914,11078626383.315477,22570596374.13155
31,0.5249152542372881,0.5249152542372881,2.530508474576271,36861208388.28603,18806438045.055347,11019335870.288837,22552555054.437553
32,0.5415254237288135,0.5415254237288135,2.4508474576271184,36763008616.20676,18771446084.495056,10964007547.476248,22537895942.725365
33,0.5581355932203389,0.5581355932203389,2.371186440677966,36670047773.02414,18749421345.04215,10910159133.805065,22530651790.22094
34,0.5747457627118644,0.5747457627118644,2.2915254237288134,36588619267.85237,18540120718.70504,10868638513.805128,22498934836.292152
35,0.5913559322033898,0.5913559322033898,2.211864406779661,36499623282.61073,18533600057.27051,10816283440.898333,22495097140.850594
36,0.6079661016949152,0.6079661016949152,2.1322033898305084,36427542790.95204,18422950325.80592,10778457859.022728,22470564972.901703
37,0.6245762711864407,0.6245762711864407,2.052542372881356,36353101333.8304,18396562933.25248,10737217303.570547,22457639372.27547
38,0.641186440677966,0.641186440677966,1.972881355932203,36282726311.72553,18362472753.337257,10700998231.588327,22445207963.716427
39,0.6577966101694914,0.6577966101694914,1.8932203389830504,36215250842.3152,18318008570.39467,10662421390.5096,22432726909.12614
40,0.6744067796610169,0.6744067796610169,1.813559322033898,36151182412.27757,18298495258.049843,10626772064.79131,22420811986.36872
41,0.6910169491525423,0.6910169491525423,1.7338983050847454,36089960718.94481,18254033888.390152,10593592244.911594,22408205176.771698
42,0.7076271186440677,0.7076271186440677,1.654237288135593,36031681987.0218,18227151882.066406,10561138617.15086,22397809245.813354
43,0.7242372881355932,0.7242372881355932,1.5745762711864404,35975587373.17629,18212187946.214138,10529992367.394657,22387427110.69761
44,0.7408474576271186,0.7408474576271186,1.4949152542372879,35921845881.90818,18192563154.711823,10501050839.413313,22377475461.895935
45,0.757457627118644,0.757457627118644,1.4152542372881354,35868293526.78581,18147108389.50009,10473829469.73652,22342194394.825436
46,0.7740677966101694,0.7740677966101694,1.3355932203389829,35820622673.415,18161612125.774284,10444225382.762882,22356763208.28315
47,0.7906779661016948,0.7906779661016948,1.2559322033898304,35773279261.37769,18145792395.857094,10417593802.37827,22344466915.679226
48,0.8072881355932202,0.8072881355932202,1.1762711864406779,35727684546.593445,18124448789.73906,10393054689.272255,22335668555.29082
49,0.8238983050847457,0.8238983050847457,1.096610169491525,35683213502.01285,18101412251.429947,10368485062.511541,22327895122.453117
50,0.8405084745762711,0.8405084745762711,1.0169491525423724,35640741649.28426,18065203192.865276,10345742811.518312,22320398784.232197
51,0.8571186440677966,0.8571186440677966,0.9372881355932199,35590545487.07409,18031102933.18774,10302845570.292625,22314624759.724564
52,0.873728813559322,0.873728813559322,0.8576271186440678,35551017456.98386,18020850402.832157,10281454068.540314,22307501598.194717
53,0.8903389830508474,0.8903389830508474,0.7779661016949149,35512738066.25458,18008093027.44945,10260576659.887024,22300573384.09478
54,0.9069491525423728,0.9069491525423728,0.6983050847457619,35475881303.25094,17999270941.58527,10240573454.930676,22294066743.37146
55,0.9235593220338982,0.9235593220338982,0.6186440677966099,35440033028.30512,17986013981.081493,10220077337.220709,22287600734.097404
56,0.9401694915254236,0.9401694915254236,0.5389830508474569,35405226404.87194,17977376017.415367,10201758383.707472,22281201719.727634
57,0.9567796610169491,0.9567796610169491,0.45932203389830484,35371250043.34691,17967593181.614185,10183127377.573088,22275160745.988384
58,0.9733898305084745,0.9733898305084745,0.3796610169491519,35338474208.07043,17952471694.621037,10165614124.79017,22269482614.784332
59,0.99,0.99,0.3,35306655417.10535,17937025300.476547,10148681130.199505,22263878626.566174
